 Spectral seawater absorption and total
 scattering coefficients in units of /m.
 Derived from Smith and Baker 1981 (200-370 nm),
 and (730-800 nm), Pope and Fry 1997 (380-720)
 Circio and Petty 1951 (800nm-2.5um), and 
 and Maul 1985 (2.5-4um).  Format i5,f15.4,f10.4
  250         0.6112    0.0567
  325         0.0762    0.0187
  350         0.0461    0.0135
  375         0.0182    0.0100
  400         0.0063    0.0076
  425         0.0051    0.0058
  450         0.0083    0.0045
  475         0.0119    0.0036
  500         0.0215    0.0029
  525         0.0407    0.0023
  550         0.0550    0.0019
  575         0.0849    0.0016
  600         0.1995    0.0014
  625         0.2850    0.0012
  650         0.3512    0.0009
  675         0.4559    0.0007
  700         0.6433    0.0007
  725         1.4449    0.0006
  775         2.3900    0.0004
  850         3.7382    0.0002
  950        27.4805    0.0000
 1050        19.3470    0.0000
 1150        67.1800    0.0000
 1250        94.9976    0.0000
 1350       363.1256    0.0000
 1450      1118.6070    0.0000
 1550       944.8757    0.0000
 1650       519.5995    0.0000
 1750       646.7179    0.0000
 1900      3768.5610    0.0000
 2200      2628.0830    0.0000
 2900    437623.0000    0.0000
 3700   1338404.0000    0.0000
